Surname,"Name","Email address",State,"Started on",Completed,"Time taken",Grade,"Q. 1 /0.24","Q. 2 /0.24","Q. 3 /0.24","Q. 4 /0.24","Q. 5 /0.24","Q. 6 /0.24","Q. 7 /0.24","Q. 8 /0.24","Q. 9 /0.24","Q. 10 /0.24","Q. 11 /0.24","Q. 12 /0.24","Q. 13 /0.24","Q. 14 /0.24","Q. 15 /0.24","Q. 16 /0.24","Q. 17 /0.24","Q. 18 /0.24","Q. 19 /0.24","Q. 20 /0.24","Q. 21 /0.24","Q. 22 /0.24","Q. 23 /0.24","Q. 24 /0.24","Q. 25 /0.24","Q. 26 /0.24","Q. 27 /0.24","Q. 28 /0.24","Q. 29 /0.24","Q. 30 /0.24","Q. 31 /0.24","Q. 32 /0.24","Q. 33 /0.24","Q. 34 /0.24","Q. 35 /0.24","Q. 36 /0.24","Q. 37 /0.24","Q. 38 /0.24","Q. 39 /0.24","Q. 40 /0.24","Q. 41 /0.24","Q. 42 /0.24"
Espinola,Pedro,pe12256@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:41 AM","30 mins 40 secs",8.57,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Jafree,Alizeh,aj7904@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:55 AM","45 mins 12 secs",7.38,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Abbasi,Hadi,ha12462@example.com,Finished,"3 April 2022  8:10 AM","3 April 2022  8:33 AM","23 mins 2 secs",3.81,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
Pradhan,Rhea,rp12511@example.com,Finished,"3 April 2022  8:11 AM","3 April 2022  8:48 AM","37 mins 51 secs",6.90,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24
Mayer,Yasmine,ym11742@example.com,Finished,"3 April 2022  8:11 AM","3 April 2022  8:38 AM","27 mins 20 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Mirza,Zain,zm7915@example.com,Finished,"3 April 2022  8:11 AM","3 April 2022  8:42 AM","31 mins 47 secs",8.57,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
"Al Malood",Serene,sa7728@example.com,Finished,"3 April 2022  8:11 AM","3 April 2022  8:48 AM","37 mins 48 secs",5.48,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24
AlAali,Alia,aa8114@example.com,Finished,"3 April 2022  8:11 AM","3 April 2022  8:51 AM","40 mins 45 secs",7.14,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24
Buhusain,Hasan,hb12454@example.com,Finished,"3 April 2022  8:11 AM","3 April 2022  8:56 AM","45 mins 18 secs",7.86,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.24
Ebrahim,Elias,ee11644@example.com,Finished,"3 April 2022  8:11 AM","3 April 2022  8:44 AM","33 mins 38 secs",4.05,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Savastano,Alessandro,as8232@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:34 AM","29 mins 26 secs",8.81,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Boyle,Freddie,fb7801@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:41 AM","35 mins 47 secs",6.43,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
John,Aarin,aj12207@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:44 AM","39 mins 15 secs",8.81,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00
Shabsogh,Ruslan,rs9942@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:29 AM","24 mins 15 secs",9.05,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Peters,Gabriella,gp12367@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:33 AM","27 mins 44 secs",6.19,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.24
Chughtai,Safienaaz,sc12231@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:41 AM","35 mins 55 secs",9.52,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
"Du Plessis",Ashley,ad11143@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:43 AM","38 mins",8.10,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Booijse,Almyne,ab8391@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:45 AM","40 mins 5 secs",8.57,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00
Bell,Megan,mb10306@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:37 AM","31 mins 33 secs",10.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
AlSalman,Salman,sa7792@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:48 AM","42 mins 33 secs",4.76,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00
Pais,Amy,ap12466@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:55 AM","49 mins 59 secs",5.24,-,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.24,0.00,-,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,-,0.24,0.24,0.24,0.00,0.00,-,0.24
Hatoum,Jad,jh12232@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:34 AM","29 mins 6 secs",8.33,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24
Waters,Soraya,sw10700@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:45 AM","39 mins 52 secs",6.90,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00
Verdeyen,Thea,tv8381@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:44 AM","38 mins 38 secs",8.10,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
AlZayani,Leen,la8165@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:44 AM","38 mins 48 secs",7.62,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00
Eissa,Ali,ae8143@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:29 AM","23 mins 57 secs",8.33,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Cullen,Sophia,sc12132@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:48 AM","43 mins 25 secs",7.14,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24
O'Donnell,Julian,jo7879@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:49 AM","43 mins 52 secs",9.29,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Arora,Maya,ma7983@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:46 AM","40 mins 51 secs",5.95,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00
Brønden,Ellen,eb11836@example.com,Finished,"4 April 2022  8:05 AM","4 April 2022  8:45 AM","40 mins 16 secs",6.67,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.00
AlZayani,Zain,za12194@example.com,Finished,"4 April 2022  8:11 AM","4 April 2022  9:01 AM","50 mins",8.81,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00
"Al Khalifa",Rashid,ra7797@example.com,Finished,"5 April 2022  6:54 AM","5 April 2022  7:22 AM","28 mins 15 secs",9.52,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Kanoo,Mohammed,mk8672@example.com,Finished,"5 April 2022  7:01 AM","5 April 2022  7:32 AM","31 mins 5 secs",8.81,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Zhang,Xiyue,xz12498@example.com,Finished,"5 April 2022  7:03 AM","5 April 2022  7:51 AM","48 mins",6.43,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.24
Patel,Tessa,tp7908@example.com,Finished,"5 April 2022  7:04 AM","5 April 2022  7:55 AM","50 mins 2 secs",8.81,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Shakeel,Inaya,is8538@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:55 AM","50 mins 1 sec",8.57,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Hassani,Salman,sh8140@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:50 AM","45 mins 27 secs",8.10,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00
Rodgers,Oliver,or11191@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:35 AM","30 mins 26 secs",9.29,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00
Sahadulla,Azaan,as9657@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:54 AM","49 mins 19 secs",8.10,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Lawlor,Aidan,al7759@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:51 AM","45 mins 56 secs",8.10,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00
"Asif Jiffry",Rayyan,ra12362@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:54 AM","49 mins 5 secs",7.86,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24
Ahmed,Yaseen,ya7883@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:55 AM","49 mins 33 secs",8.10,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
Bokhowa,Adam,ab7766@example.com,Finished,"5 April 2022  7:05 AM","5 April 2022  7:35 AM","29 mins 47 secs",9.29,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00
Whittaker,Ruby,rw9590@example.com,Finished,"5 April 2022  7:06 AM","5 April 2022  7:44 AM","38 mins 35 secs",4.76,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24
Ebrahim,Jenna,je7816@example.com,Finished,"5 April 2022  7:06 AM","5 April 2022  7:55 AM","48 mins 42 secs",7.86,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.24,0.24,0.00,0.24,0.24,0.24,0.24,0.24,0.00,0.24,0.24
